time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
2.649122,-0.0007,-0.0138,0.0736,0.075
2.656549,0.0018,0.0003,0.0640,0.064
2.665629,0.0114,0.0003,0.0592,0.060
2.673310,0.0043,-0.0046,0.0497,0.050
2.683239,0.0211,0.0001,0.0616,0.065
2.690406,0.0067,-0.0095,0.0664,0.067
2.697176,0.0018,-0.0120,0.0808,0.082
2.704325,0.0069,-0.0048,0.0736,0.074
2.712290,0.0117,-0.0025,0.0640,0.065
2.720564,0.0072,-0.0121,0.0688,0.070
2.728603,0.0144,0.0021,0.0497,0.052
2.737081,0.0072,-0.0051,0.0880,0.088
2.745070,0.0074,-0.0076,0.0616,0.063
2.754211,-0.0023,-0.0173,0.0712,0.073
2.761653,0.0070,-0.0173,0.0521,0.055
2.769042,0.0094,-0.0030,0.0569,0.058
2.777365,0.0214,-0.0150,0.0616,0.067
2.785581,0.0092,-0.0077,0.0808,0.082
2.792798,0.0162,-0.0102,0.0712,0.074
2.800967,-0.0125,-0.0151,0.0473,0.051
2.810098,0.0258,-0.0128,0.0688,0.075
2.817003,0.0187,-0.0176,0.0497,0.056
2.825420,0.0043,-0.0104,0.0688,0.070
2.833996,0.0043,-0.0057,0.0664,0.067
2.842356,0.0019,-0.0105,0.0545,0.056
2.849824,-0.0052,-0.0129,0.0593,0.061
2.858475,0.0091,-0.0010,0.0712,0.072
2.866899,0.0117,-0.0155,0.0617,0.065
2.875208,0.0069,-0.0083,0.0640,0.065
2.883602,0.0164,-0.0131,0.0569,0.061
2.891536,0.0163,-0.0107,0.0664,0.069
2.900003,-0.0027,-0.0132,0.0569,0.058
2.911413,0.0141,-0.0301,0.0712,0.079
2.912759,0.0189,-0.0301,0.0640,0.073
2.921346,0.0021,-0.0134,0.0617,0.063
2.929157,-0.0002,-0.0277,0.0593,0.065
2.938665,0.0095,-0.0157,0.0545,0.057
2.945247,0.0310,-0.0182,0.0688,0.078
2.953785,0.0190,0.0011,0.0640,0.067
2.961774,-0.0024,-0.0109,0.0473,0.049
2.969358,0.0118,-0.0252,0.0545,0.061
2.977531,0.0165,-0.0203,0.0521,0.058
2.984951,0.0118,-0.0060,0.0617,0.063
2.992817,0.0164,-0.0107,0.0401,0.045
3.001071,-0.0123,-0.0204,0.0760,0.080
3.008742,0.0043,-0.0179,0.0545,0.058
3.019175,0.0257,-0.0131,0.0688,0.075
3.025928,0.0065,-0.0179,0.0401,0.044
3.032815,0.0185,-0.0060,0.0641,0.067
3.042012,0.0066,-0.0179,0.0521,0.055
3.049888,0.0065,-0.0178,0.0593,0.062
3.058879,0.0016,-0.0298,0.0664,0.073
3.066938,0.0064,-0.0250,0.0664,0.071
3.074683,0.0207,-0.0010,0.0688,0.072
3.083644,0.0159,-0.0154,0.0736,0.077
3.091992,0.0086,-0.0178,0.0521,0.056
3.100145,0.0110,-0.0273,0.0641,0.071
3.105320,0.0063,-0.0104,0.0449,0.047
3.113484,-0.0130,-0.0057,0.0449,0.047
3.121053,0.0133,-0.0201,0.0593,0.064
3.135893,-0.0106,-0.0248,0.0641,0.069
3.136526,0.0037,-0.0200,0.0712,0.074
3.144412,-0.0012,-0.0080,0.0641,0.065
3.152620,0.0013,-0.0127,0.0736,0.075
3.160655,-0.0035,-0.0007,0.0712,0.071
3.169339,0.0014,-0.0150,0.0688,0.070
3.178266,0.0040,-0.0030,0.0593,0.059
3.184334,0.0088,-0.0198,0.0688,0.072
3.192758,0.0039,-0.0125,0.0593,0.061
3.200959,-0.0130,-0.0125,0.0449,0.048
3.208295,0.0205,-0.0075,0.0593,0.063
3.216617,0.0205,-0.0218,0.0593,0.066
3.224450,0.0037,-0.0122,0.0545,0.056
3.232391,0.0060,-0.0169,0.0425,0.046
3.240608,0.0011,-0.0049,0.0688,0.069
3.249134,0.0084,-0.0025,0.0425,0.043
3.258151,0.0036,-0.0240,0.0521,0.057
3.266076,0.0182,0.0023,0.0688,0.071
3.273739,0.0136,0.0070,0.0569,0.059
3.281683,0.0064,-0.0002,0.0593,0.060
3.290251,0.0016,-0.0073,0.0497,0.050
3.299859,-0.0009,0.0022,0.0521,0.052
3.304854,-0.0008,-0.0218,0.0664,0.070
3.312873,0.0112,-0.0122,0.0640,0.066
3.321045,0.0088,-0.0099,0.0473,0.049
3.328704,0.0231,-0.0171,0.0497,0.057
3.337787,0.0181,-0.0146,0.0617,0.066
3.345826,0.0135,-0.0218,0.0329,0.042
3.352309,0.0135,-0.0050,0.0497,0.052
3.361258,0.0186,-0.0122,0.0497,0.054
3.368594,0.0090,-0.0217,0.0640,0.068
3.376639,0.0063,-0.0121,0.0640,0.065
3.385347,0.0084,-0.0264,0.0617,0.068
3.393037,0.0228,0.0071,0.0593,0.064
3.400911,0.0157,-0.0072,0.0353,0.039
3.408803,0.0206,-0.0191,0.0640,0.070
3.417162,0.0206,-0.0095,0.0664,0.070
3.424729,0.0061,-0.0191,0.0569,0.060
3.433483,0.0157,-0.0215,0.0640,0.069
3.440294,-0.0034,-0.0095,0.0640,0.065
3.448490,-0.0032,0.0002,0.0449,0.045
3.456490,0.0201,-0.0094,0.0760,0.079
3.465348,0.0249,-0.0188,0.0640,0.071
3.473948,0.0033,-0.0116,0.0521,0.053
3.482442,0.0130,-0.0067,0.0664,0.068
3.491606,0.0249,-0.0068,0.0545,0.060
3.498610,0.0105,0.0029,0.0593,0.060
3.504564,0.0204,-0.0210,0.0616,0.068
3.512389,0.0012,-0.0067,0.0545,0.055
3.520326,0.0180,0.0030,0.0257,0.032
3.528568,0.0060,-0.0114,0.0401,0.042
3.536311,0.0057,-0.0185,0.0569,0.060
3.544278,0.0080,-0.0041,0.0569,0.058
3.552470,0.0152,-0.0064,0.0521,0.055
3.560335,0.0103,-0.0159,0.0425,0.047
3.568193,0.0032,-0.0040,0.0353,0.036
3.576381,0.0006,-0.0111,0.0449,0.046
3.584482,0.0174,-0.0063,0.0545,0.058
3.592222,-0.0043,-0.0254,0.0688,0.073
3.600472,0.0051,-0.0086,0.0593,0.060
3.608691,0.0077,-0.0206,0.0425,0.048
3.616563,0.0078,0.0033,0.0497,0.050
3.624490,0.0102,-0.0014,0.0545,0.055
3.632372,0.0079,0.0035,0.0545,0.055
3.640912,0.0127,-0.0156,0.0569,0.060
3.648667,0.0008,-0.0012,0.0497,0.050
3.657892,0.0127,-0.0060,0.0616,0.063
3.666119,0.0223,-0.0157,0.0473,0.055
3.674537,0.0151,-0.0108,0.0545,0.058
3.682948,0.0175,-0.0060,0.0521,0.055
3.690983,0.0222,-0.0132,0.0712,0.076
3.699762,0.0149,-0.0083,0.0425,0.046
3.710449,0.0150,-0.0084,0.0497,0.053
3.715460,0.0272,-0.0179,0.0569,0.066
3.720811,0.0081,-0.0179,0.0808,0.083
3.728840,0.0105,-0.0156,0.0569,0.060
3.736703,0.0127,-0.0131,0.0688,0.071
3.745694,0.0127,0.0061,0.0545,0.056
3.752934,0.0148,-0.0034,0.0664,0.068
3.761497,0.0219,-0.0226,0.0473,0.057
3.769381,0.0123,-0.0249,0.0473,0.055
3.776781,0.0102,0.0015,0.0521,0.053
3.784649,0.0103,0.0086,0.0592,0.061
3.792953,0.0102,-0.0129,0.0473,0.050
3.801306,0.0005,-0.0200,0.0353,0.041
3.810803,0.0102,-0.0175,0.0736,0.076
3.817898,0.0127,-0.0126,0.0449,0.048
3.824754,-0.0041,-0.0174,0.0449,0.048
3.833197,-0.0042,-0.0103,0.0592,0.060
3.842488,-0.0067,-0.0078,0.0377,0.039
3.849245,0.0006,0.0018,0.0425,0.043
3.858071,0.0077,-0.0173,0.0521,0.055
3.866389,-0.0019,-0.0054,0.0521,0.052
3.874649,0.0100,0.0018,0.0616,0.062
3.882683,0.0004,-0.0124,0.0473,0.049
3.891645,0.0196,-0.0171,0.0521,0.058
3.899775,0.0053,-0.0146,0.0449,0.048
3.907631,0.0197,-0.0146,0.0497,0.055
3.919447,0.0079,-0.0050,0.0521,0.053
3.921617,0.0007,-0.0121,0.0209,0.024
3.929117,-0.0064,-0.0003,0.0425,0.043
3.937428,0.0200,-0.0242,0.0712,0.078
3.945828,0.0152,-0.0026,0.0425,0.045
3.953567,0.0129,-0.0122,0.0688,0.071
3.962026,-0.0038,0.0021,0.0544,0.055
3.969545,-0.0062,-0.0075,0.0521,0.053
3.976899,0.0034,0.0045,0.0449,0.045
3.984851,0.0009,-0.0051,0.0592,0.059
3.993100,0.0082,-0.0147,0.0425,0.046
4.001478,0.0010,-0.0196,0.0712,0.074
4.010987,-0.0013,-0.0052,0.0425,0.043
4.016867,0.0035,-0.0004,0.0377,0.038
4.024596,0.0227,-0.0172,0.0353,0.045
4.032820,-0.0037,0.0045,0.0497,0.050
4.041466,0.0057,-0.0122,0.0329,0.036
4.049504,0.0153,-0.0121,0.0401,0.045
4.058368,0.0200,-0.0099,0.0544,0.059
4.067012,0.0272,0.0022,0.0616,0.067
4.074337,0.0202,0.0046,0.0568,0.060
4.083348,0.0154,-0.0025,0.0568,0.059
4.091546,0.0249,-0.0002,0.0425,0.049
4.100230,0.0106,-0.0122,0.0640,0.066
4.108581,-0.0037,-0.0025,0.0401,0.040
4.113112,0.0036,0.0094,0.0640,0.065
4.123802,0.0035,-0.0240,0.0664,0.071
4.129354,0.0227,-0.0121,0.0473,0.054
4.142393,0.0250,0.0023,0.0449,0.051
4.147522,0.0081,-0.0263,0.0377,0.047
4.152890,0.0081,-0.0193,0.0544,0.058
4.160569,0.0104,-0.0002,0.0497,0.051
4.169290,0.0128,-0.0096,0.0592,0.061
4.176450,0.0103,0.0096,0.0616,0.063
4.184837,0.0127,-0.0145,0.0664,0.069
4.192746,0.0149,-0.0096,0.0664,0.069
4.201051,0.0221,0.0096,0.0497,0.055
4.208717,0.0244,0.0001,0.0377,0.045
4.217294,0.0002,-0.0095,0.0449,0.046
4.224307,0.0170,0.0025,0.0497,0.053
4.232441,-0.0044,-0.0119,0.0592,0.061
4.240871,0.0028,-0.0048,0.0353,0.036
4.248403,-0.0067,-0.0048,0.0616,0.062
4.256920,0.0150,-0.0071,0.0568,0.059
4.266193,0.0077,-0.0142,0.0592,0.061
4.273830,0.0056,0.0025,0.0449,0.045
4.283092,0.0127,-0.0191,0.0497,0.055
4.291248,0.0128,0.0048,0.0568,0.058
4.299567,0.0033,-0.0095,0.0497,0.051
4.307675,0.0034,-0.0166,0.0688,0.071
4.319055,-0.0061,-0.0213,0.0473,0.052
4.321214,0.0083,-0.0166,0.0736,0.076
4.329129,0.0203,0.0049,0.0592,0.063
4.337832,0.0036,-0.0286,0.0568,0.064
4.345479,0.0085,-0.0285,0.0496,0.058
4.353247,0.0157,-0.0141,0.0760,0.079
4.361739,0.0157,-0.0166,0.0664,0.070
4.369682,0.0086,-0.0023,0.0449,0.046
4.377013,0.0230,0.0072,0.0520,0.057
4.385250,0.0111,-0.0022,0.0592,0.060
4.392505,0.0231,-0.0021,0.0377,0.044
